,,unit
Commodity,"Bricks, tiles and construction products, in baked clay",EUR
Commodity,"Cement, lime and plaster",EUR
Commodity,"Ash for treatment, Re-processing of ash into clinker",EUR
Commodity,Other non-metallic mineral products,EUR
Commodity,Basic iron and steel and of ferro-alloys and first products thereof,EUR
Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",EUR
Commodity,Precious metals,EUR
Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",EUR
Commodity,Aluminium and aluminium products,EUR
Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",EUR
Commodity,"Lead, zinc and tin and products thereof",EUR
Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",EUR
Commodity,Copper products,EUR
Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",EUR
Commodity,Other non-ferrous metal products,EUR
Commodity,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",EUR
Commodity,Foundry work services,EUR
Commodity,"Fabricated metal products, except machinery and equipment (28)",EUR
Commodity,Machinery and equipment n.e.c. (29),EUR
Commodity,Office machinery and computers (30),EUR
Commodity,Electrical machinery and apparatus n.e.c. (31),EUR
Commodity,"Radio, television and communication equipment and apparatus (32)",EUR
Commodity,"Medical, precision and optical instruments, watches and clocks (33)",EUR
Commodity,"Motor vehicles, trailers and semi-trailers (34)",EUR
Commodity,Other transport equipment (35),EUR
Commodity,Furniture; other manufactured goods n.e.c. (36),EUR
Commodity,Secondary raw materials,EUR
Commodity,"Bottles for treatment, Recycling of bottles by direct reuse",EUR
Commodity,Electricity by coal,EUR
Commodity,Electricity by gas,EUR
Commodity,Electricity by nuclear,EUR
Commodity,Electricity by hydro,EUR
Commodity,Electricity by wind,EUR
Commodity,Electricity by petroleum and other oil derivatives,EUR
Commodity,Electricity by biomass and waste,EUR
Commodity,Electricity by solar photovoltaic,EUR
Commodity,Electricity by solar thermal,EUR
Commodity,"Electricity by tide, wave, ocean",EUR
Commodity,Electricity by Geothermal,EUR
Commodity,Electricity nec,EUR
Commodity,Transmission services of electricity,EUR
Commodity,Distribution and trade services of electricity,EUR
Commodity,Coke oven gas,EUR
Commodity,Blast Furnace Gas,EUR
Commodity,Oxygen Steel Furnace Gas,EUR
Commodity,Gas Works Gas,EUR
Commodity,Biogas,EUR
Commodity,Distribution services of gaseous fuels through mains,EUR
Commodity,Steam and hot water supply services,EUR
Commodity,"Collected and purified water, distribution services of water (41)",EUR
Commodity,Construction work (45),EUR
Commodity,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",EUR
Commodity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",EUR
Commodity,Retail trade services of motor fuel,EUR
Commodity,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",EUR
Commodity,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",EUR
Commodity,Hotel and restaurant services (55),EUR
Commodity,Railway transportation services,EUR
Commodity,Other land transportation services,EUR
Commodity,Transportation services via pipelines,EUR
Commodity,Sea and coastal water transportation services,EUR
Commodity,Inland water transportation services,EUR
Commodity,Air transport services (62),EUR
Commodity,Supporting and auxiliary transport services; travel agency services (63),EUR
Commodity,Post and telecommunication services (64),EUR
Commodity,"Financial intermediation services, except insurance and pension funding services (65)",EUR
Commodity,"Insurance and pension funding services, except compulsory social security services (66)",EUR
Commodity,Services auxiliary to financial intermediation (67),EUR
Commodity,Real estate services (70),EUR
Commodity,Renting services of machinery and equipment without operator and of personal and household goods (71),EUR
Commodity,Computer and related services (72),EUR
Commodity,Research and development services (73),EUR
Commodity,Other business services (74),EUR
Commodity,Public administration and defence services; compulsory social security services (75),EUR
Commodity,Education services (80),EUR
Commodity,Health and social work services (85),EUR
Commodity,Food waste for treatment: incineration,EUR
Commodity,Paper waste for treatment: incineration,EUR
Commodity,Plastic waste for treatment: incineration,EUR
Commodity,Intert/metal waste for treatment: incineration,EUR
Commodity,Textiles waste for treatment: incineration,EUR
Commodity,Wood waste for treatment: incineration,EUR
Commodity,Oil/hazardous waste for treatment: incineration,EUR
Commodity,Food waste for treatment: biogasification and land application,EUR
Commodity,Paper waste for treatment: biogasification and land application,EUR
Commodity,Sewage sludge for treatment: biogasification and land application,EUR
Commodity,Food waste for treatment: composting and land application,EUR
Commodity,Paper and wood waste for treatment: composting and land application,EUR
Commodity,Food waste for treatment: waste water treatment,EUR
Commodity,Other waste for treatment: waste water treatment,EUR
Commodity,Food waste for treatment: landfill,EUR
Commodity,Paper for treatment: landfill,EUR
Commodity,Plastic waste for treatment: landfill,EUR
Commodity,Inert/metal/hazardous waste for treatment: landfill,EUR
Commodity,Textiles waste for treatment: landfill,EUR
Commodity,Wood waste for treatment: landfill,EUR
Commodity,Membership organisation services n.e.c. (91),EUR
Commodity,"Recreational, cultural and sporting services (92)",EUR
Commodity,Other services (93),EUR
Commodity,Private households with employed persons (95),EUR
Commodity,Extra-territorial organizations and bodies,EUR
Factor of production,Taxes less subsidies on products purchased: Total,EUR
Factor of production,Taxes on products purchased,EUR
Factor of production,Subsidies on products purchased,EUR
Factor of production,Other net taxes on production,EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: Total",EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled",EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled",EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: High-skilled",EUR
Factor of production,Operating surplus: Consumption of fixed capital,EUR
Factor of production,Operating surplus: Rents on land,EUR
Factor of production,Operating surplus: Royalties on resources,EUR
Factor of production,Operating surplus: Remaining net operating surplus,EUR
Satellite account,None,None
Satellite account,Air Pollutants,kg
Satellite account,CH4,kg
Satellite account,CO2,kg
Satellite account,High-skilled Employment,1000 p
Satellite account,Low-skilled Employment,1000 p
Satellite account,Medium-skilled Employment,1000 p
Satellite account,N2O,kg
